Fecha;Cliente;Autor;Tweet
2021-10-14 19:04:12;Twitter Web App;x_y_es;RT: [11/10/2021] He mejorado bastante el vuelo #3D y ahora muestra la isla completa, y las 6 ultimas coladas juntas (dias 6 al 11). Con datos del @CabLaPalma sobre un mapa del @IGNSpain. @lapalmaopendata @InnovaLaPalma #VigilanciaLaPalma #LaPalma #ErupcionLaPalma #VolcandeLaPalma https://t.co/3xLFCqIqCY
2021-10-14 19:03:31;Twitter Web App;chematierra;RT: #ErupcionLaPalma Octubre 14, continua la erupcion con fuertes rugidos y rios de lava en #CumbreVieja #LaPalma #Canarias #Espana 🇪🇸 Al dia de ayer: 🚩superficie cubierta 680 Ha 🚩casas destruidas 1548 🚩casas danadas 86 🚩res carretera afectada 53km Creditos 🎥 @involcan https://t.co/2BrO7pydqR
2021-10-14 19:03:29;Twitter for Android;IGNSpain;RT: 📹 Video de ayer del paso del rio de lava desde la ladera norte del #VolcandeLaPalma. #IGNSpain #VolcanLaPalma #ErupcionLaPalma @mitmagob @CabLaPalma @DgCanarias @IGME1849 @IGeociencias @VolcansCanarias @RTVCes https://t.co/naisBgSNR6
2021-10-14 19:03:20;Twitter for Android;RTVCes;RT: 🔴#erupcionLaPalma | Imagenes de las 14:15 grabadas por @Involcan en las que se registra el desborde de la colada de lava en el cono principal del #volcan en #LaPalma https://t.co/nJ1bnfQyUs
2021-10-14 19:03:05;Twitter Web App;i_ameztoy;"RT: ‼�?#LaPalma 🛰�?🌋 | Situacion a 13 de octubre a las 06:50 UTC y evolucion desde el principio del evento  La colada en la zona Norte sigue su curso | Datos de @CopernicusEMS y mapa base de @IGNSpain HD: https://t.co/OprlPNwTui 📹 #ErupcionLaPalma #volcanCumbreVieja #LaPalmaEruption https://t.co/CsikEFJ1Xi"
2021-10-14 19:02:54;Twitter for Android;RTVCes;RT: 🔴#erupcionLaPalma | Imagenes de las 14:15 grabadas por @Involcan en las que se registra el desborde de la colada de lava en el cono principal del #volcan en #LaPalma https://t.co/nJ1bnfQyUs
2021-10-14 19:02:16;Twitter for Android;112canarias;RT: 🔴#ErupcionLaPalma La colada principal esta casi paralizada y la del noroeste, con mayor aporte de lava, obliga a nuevas evacuaciones ➡�? La superficie afectada supera las 674 hectareas, 34 mas que ayer https://t.co/SlWWG3KJWN https://t.co/fLLVzLGkOK
2021-10-14 19:01:44;Twitter for Android;RTVCes;RT: 🔴#erupcionLaPalma | Imagenes de las 14:15 grabadas por @Involcan en las que se registra el desborde de la colada de lava en el cono principal del #volcan en #LaPalma https://t.co/nJ1bnfQyUs
2021-10-14 19:01:20;Twitter for Android;canarias7;RT: Esta zona linda con el limite del perimetro ya evacuado. #LaPalma #CumbreVieja #VolcanLaPalma #canarias #volcan #erupcionlapalma https://t.co/vRb8jZPgj7
2021-10-14 19:01:16;Twitter Web App;RTVCes;RT: 🔴#erupcionLaPalma | Imagenes de las 14:15 grabadas por @Involcan en las que se registra el desborde de la colada de lava en el cono principal del #volcan en #LaPalma https://t.co/nJ1bnfQyUs
2021-10-14 19:01:09;Twitter Web App;BomberosTf;RT: 🔴Mientras, el operativo de #BomberosTF sigue con el Puesto de Mando Avanzado montado y en continua comunicacion con el #PEVOLCA y otros medios de emergencias presentes en #ErupcionLaPalma 🌋 https://t.co/qPXdLExoYT
2021-10-14 19:01:05;Twitter for Android;RTVCes;RT: 🔴#erupcionLaPalma | Imagenes de las 14:15 grabadas por @Involcan en las que se registra el desborde de la colada de lava en el cono principal del #volcan en #LaPalma https://t.co/nJ1bnfQyUs
2021-10-14 19:00:52;WordPress.com;lapalma_INFO;#ErupcionLaPalma La Palma necesita ayuda da igual como sea podeis difundir , hacer donaciones algo #lapalma #lapalma https://t.co/ObWx9Fu4vY
2021-10-14 19:00:51;WordPress.com;lastnewsESP;#ErupcionLaPalma La Palma necesita ayuda da igual como sea podeis difundir , hacer donaciones algo #lapalma #lapalma https://t.co/8yjUcYYo7V
2021-10-14 19:00:44;Twitter Web App;i_ameztoy;"RT: ‼�?#LaPalma 🛰�?🌋 | Situacion a 13 de octubre a las 06:50 UTC y evolucion desde el principio del evento  La colada en la zona Norte sigue su curso | Datos de @CopernicusEMS y mapa base de @IGNSpain HD: https://t.co/OprlPNwTui 📹 #ErupcionLaPalma #volcanCumbreVieja #LaPalmaEruption https://t.co/CsikEFJ1Xi"
2021-10-14 19:00:38;Twitter for Android;LaPalmaBiosfera;RT: El Gobierno de Canarias habilita dos lineas telefonicas en las 2 oficinas de empleo de la isla, para la atencion directa de las personas usuarias afectadas #ErupcionLaPalma #MasFuertesQueElVolcan #VolcanLaPalma #LaPalma #LaPalmaBiosfera #reservabiosfera #somosbiosfera @SCEmpleo https://t.co/s9KMlIvtaW
2021-10-14 19:00:37;Twitter for iPhone;guardiacivil;RT: En el operativo de servicio de #ErupcionLaPalma los companeros del #SEPRONA continuan poniendo a salvo a los animales domesticos de las zonas de exclusion. Los mas valientes se han adaptado a las circunstancias y han encontrado cobijo en los lugares mas imprevisibles. https://t.co/B9VXpybDfE
2021-10-14 19:00:36;Twitter Web App;BomberosTf;RT: 🔴 A esta hora de la tarde esta es la situacion en la que se encuentra la zona de El Corazoncillo en #ErupcionLaPalma 🌋 El operativo de #BomberosTF 🚒 seguira con labores de limpieza de ceniza en los tejados de las casas, sobre todo, en techos planos �?� @112canarias @CabLaPalma https://t.co/GdBRrUjvVU
2021-10-14 19:00:15;Twitter for iPhone;saraylapalma;Hasta 17:00 h. personas afectadas por la evacuacion deben desalojar sus viviendas,con sus pertenencias,animales domesticos, dirigirse al punto de reunion en el Campo de Lucha Camino Leon #LosLlanosdeAridane �?😥 #LaPalma #ErupcionLaPalma #animaleslapalma #rescateanimalesvolcan https://t.co/m04qhQ3cOx
2021-10-14 18:59:48;Twitter for Android;RTVCes;RT: 👉 ¿Quienes estan detras de la realidad virtual de Television Canaria? Fernando, Yaiza y Carlos son los que hacen la magia que disfrutamos cada noche en @unahoramenostv. Los hemos conocido en @GenteFantastica #VolcandeLaPalma #ErupcionLaPalma https://t.co/MWVeyuuJ99
2021-10-14 18:59:44;Twitter for Android;112canarias;RT: 🔴#ErupcionLaPalma #PEVOLCA ordena la evacuacion de: ➡�?La zona comprendida en la LP-215 (carretera de La Laguna a Tazacorte), desde el limite con el municipio de Tazacorte senalado en la carretera, hasta el cruce con la LP-213 (carretera a Puerto Naos). https://t.co/v4DUS7bBzh
2021-10-14 18:59:24;Twitter Web App;unahoramenostv;RT: 🌋 Mediante realidad virtual actualizamos la situacion del volcan a dia de hoy, 13 de octubre (Coladas, movimientos sismicos, etc.). Con las explicaciones de @victorioperezm. #ErupcionLaPalma #VolcanLaPalma @VideoreportCan @RTVCes https://t.co/eppTqX9OTG
2021-10-14 18:59:09;Twitter for iPhone;RTVCes;RT: 🔴#erupcionLaPalma | Imagenes de las 14:15 grabadas por @Involcan en las que se registra el desborde de la colada de lava en el cono principal del #volcan en #LaPalma https://t.co/nJ1bnfQyUs
2021-10-14 18:59:01;Twitter for Android;RTVCes;RT: 🔴#erupcionLaPalma | Imagenes de las 14:15 grabadas por @Involcan en las que se registra el desborde de la colada de lava en el cono principal del #volcan en #LaPalma https://t.co/nJ1bnfQyUs
2021-10-14 18:58:20;Twitter for Android;RTVCes;RT: 🔴#erupcionLaPalma | Imagenes de las 14:15 grabadas por @Involcan en las que se registra el desborde de la colada de lava en el cono principal del #volcan en #LaPalma https://t.co/nJ1bnfQyUs
2021-10-14 18:58:14;Twitter for Android;VolcansCanarias;RT: ¿Sabias que el color de las columnas de gases nos pueden dar informacion de su origen? Te ayudamos a interpretarlos en esta infografia. @112canarias @CabLaPalma @Marianohzapata #ErupcionLaPalma #VigilanciaLaPalma #volcanesdecanarias https://t.co/4Vd09RbVkO
2021-10-14 18:57:57;Twitter for Android;guardiacivilzg;RT: La ilusion de Daniela es ser #GuardiaCivil. Ella y su familia ha perdido su vivienda en la #ErupcionLaPalma Esta manana han recibido la visita, en El Paso, de 2 componentes del #GRS5 de Casetas quienes le han entregado unos detalles y animado a perseverar en su objetivo https://t.co/mSLkQNWNQN
2021-10-14 18:57:50;Twitter for Android;RTVCes;RT: 🔴#erupcionLaPalma | Imagenes de las 14:15 grabadas por @Involcan en las que se registra el desborde de la colada de lava en el cono principal del #volcan en #LaPalma https://t.co/nJ1bnfQyUs
2021-10-14 18:57:45;Twitter for Android;i_ameztoy;"RT: ‼�?#LaPalma 🛰�?🌋 | Situacion a 13 de octubre a las 06:50 UTC y evolucion desde el principio del evento  La colada en la zona Norte sigue su curso | Datos de @CopernicusEMS y mapa base de @IGNSpain HD: https://t.co/OprlPNwTui 📹 #ErupcionLaPalma #volcanCumbreVieja #LaPalmaEruption https://t.co/CsikEFJ1Xi"
2021-10-14 18:57:42;Twitter for Android;PPparcan;"RT: 📽�?@AustraliaPP recuerda a Torres que es Pedro Sanchez quien tiene que pedir las ayudes europeas para catastrofes como #ErupcionLaPalma y le recomienda que este encima del presidente para que no se ""despiste"" como ocurrio con la tormenta #Filomena ""La Palma no puede esperar""👇 https://t.co/mVV3bfclE1"
2021-10-14 18:57:34;Twitter for Android;ElTimeLaPalma;RT: Imagenes de hoy a las 20:40 de la colada de Lava a su paso por las Manchas. #lapalma #noticiaslapalma #terremotoslapalma #volcanlasmanchas #urgencaislapalma #emergencialapalma #lavalapalma #vigilancialapalma https://t.co/h8DOrjQIXt
2021-10-14 18:57:27;Twitter for Android;lapalma_INFO;RT: #ErupcionLaPalma La Palma necesita ayuda da igual como sea podeis difundir , hacer donaciones algo #lapalma https://t.co/GzUe4NBCQm
2021-10-14 18:57:22;Twitter for Android;RTVCes;RT: 🔴#erupcionLaPalma | Imagenes de las 14:15 grabadas por @Involcan en las que se registra el desborde de la colada de lava en el cono principal del #volcan en #LaPalma https://t.co/nJ1bnfQyUs
2021-10-14 18:57:20;WordPress.com;lapalma_INFO;ultimas imagenes de satelite @Maxar (del 14 de octubre de 2021) de la erupcion volcanica #LaPalma. #ErupcionLaPalma #VolcanLaPalma #CumbreVieja #lapalma https://t.co/L8LkHOic8F
2021-10-14 18:57:19;WordPress.com;lastnewsESP;ultimas imagenes de satelite @Maxar (del 14 de octubre de 2021) de la erupcion volcanica #LaPalma. #ErupcionLaPalma #VolcanLaPalma #CumbreVieja #lapalma https://t.co/MZcKX32wwG
